iter	Logloss
0	0.6663449983
1	0.647253722
2	0.6283269461
3	0.6116270254
4	0.5985110521
5	0.5876318662
6	0.5754234908
7	0.5671208231
8	0.5592402973
9	0.551936188
10	0.5462768643
11	0.5411349642
12	0.5353478857
13	0.5316280658
14	0.5259511239
15	0.5221267333
16	0.5185801715
17	0.5148803112
18	0.5109885498
19	0.5089448961
20	0.5043343804
21	0.5005607061
22	0.4995843659
23	0.4972435679
24	0.4947770121
25	0.4924201579
26	0.4910753685
27	0.4887477397
28	0.4863199694
29	0.4847345643
30	0.482559212
31	0.4805509804
32	0.4794828463
33	0.4784551123
34	0.4757505799
35	0.4749096481
36	0.4728837113
37	0.4712564971
38	0.470090514
39	0.468367623
40	0.4668776826
41	0.4657684975
42	0.4646330432
43	0.4631041858
44	0.4615302912
45	0.4598371644
46	0.4587124458
47	0.4570240509
48	0.4562407422
49	0.454834108
50	0.4534016081
51	0.4531300657
52	0.4521387874
53	0.4507157344
54	0.4504074912
55	0.4486938191
56	0.4482610905
57	0.4477218963
58	0.4474932378
59	0.4462782093
60	0.4454920297
61	0.4446745863
62	0.4424324555
63	0.4414955757
64	0.4403568144
65	0.4391119868
66	0.4387253879
67	0.4369572315
68	0.4364506239
69	0.4353357253
70	0.4349065602
71	0.4344667212
72	0.4327085869
73	0.4320424541
74	0.431156508
75	0.4301386788
76	0.4289306685
77	0.4275371118
78	0.4266774778
79	0.4245635878
80	0.4237610058
81	0.4228700088
82	0.4216882954
83	0.4203014077
84	0.4182998045
85	0.4173736292
86	0.416873125
87	0.4153108747
88	0.4138944516
89	0.4128670681
90	0.4118854591
91	0.4105885668
92	0.4095405858
93	0.40836843
94	0.4073807549
95	0.4065864408
96	0.4056543862
97	0.4050536788
98	0.4038528961
99	0.402455886
