iter	Passed	Remaining
0	47	4734
1	48	2369
2	48	1579
3	49	1180
4	49	946
5	50	790
6	51	677
7	51	592
8	51	524
9	52	471
10	53	430
11	53	392
12	54	362
13	54	335
14	55	312
15	56	297
16	66	326
17	67	307
18	68	291
19	68	274
20	69	260
21	69	247
22	70	234
23	70	223
24	75	225
25	75	215
26	76	206
27	77	198
28	77	189
29	78	182
30	78	175
31	79	168
32	79	162
33	80	156
34	81	150
35	81	145
36	82	140
37	83	135
38	83	131
39	84	127
40	85	123
41	86	119
42	87	115
43	87	111
44	88	108
45	89	104
46	89	101
47	90	97
48	90	94
49	91	91
50	91	88
51	92	85
52	93	82
53	93	79
54	94	77
55	95	74
56	95	72
57	96	69
58	96	67
59	97	64
60	97	62
61	98	60
62	98	58
63	99	56
64	100	53
65	100	51
66	101	49
67	101	47
68	102	45
69	102	44
70	103	42
71	104	40
72	105	39
73	106	37
74	106	35
75	107	33
76	108	32
77	108	30
78	109	29
79	110	27
80	110	25
81	111	24
82	112	22
83	112	21
84	113	19
85	113	18
86	114	17
87	115	15
88	115	14
89	116	12
90	116	11
91	117	10
92	118	8
93	118	7
94	119	6
95	120	5
96	120	3
97	121	2
98	122	1
99	122	0
